index,Area,Branch,Address
15,도봉구,쌍문중앙점,서울 도봉구 도봉로 519 (쌍문동)
16,도봉구,창동대우점,서울 도봉구 덕릉로63가길 30 (창동)
17,도봉구,창동블루핀점,서울 도봉구 마들로 550 (창동)
18,도봉구,창동역점,서울 도봉구 마들로11길 65 (창동)
19,도봉구,창동제일점,서울 도봉구 노해로70길 81 (창동)
20,도봉구,창동중앙점,서울 도봉구 노해로63길 78 (창동)
21,도봉구,창동하나로마트점,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타)"
22,도봉구,창동학원가점,서울 도봉구 해등로16길 61 (창동)
23,도봉구,창동현대타운점,서울 도봉구 도봉로114길 22 (창동)
0,동대문구,경희대점,서울 동대문구 경희대로 4 (회기동)
1,동대문구,경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)"
2,동대문구,답십리사거리점,서울 동대문구 답십리로 145 (답십리동)
3,동대문구,답십리역점,서울 동대문구 천호대로 265 (답십리동)
4,동대문구,답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)"
5,동대문구,동대문구청점,서울 동대문구 천호대로 153-1 (용두동)
6,동대문구,동부병원사거리점,서울 동대문구 무학로 104 (용두동)
7,동대문구,배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동)
8,동대문구,서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)"
9,동대문구,신설동역점,서울 동대문구 천호대로 11-3 (신설동)
10,동대문구,외대점,서울 동대문구 휘경로 12 (이문동)
11,동대문구,용두동사거리점,서울 동대문구 왕산로 68 (용두동)
12,동대문구,용두동점,서울 동대문구 고산자로 413-1 (용두동)
13,동대문구,이문점,서울 동대문구 신이문로 19 (이문동)
14,동대문구,장안동사거리점,서울 동대문구 답십리로 309 (장안동)
15,동대문구,장안동점,서울 동대문구 장한로 43 (장안동)
16,동대문구,장안중랑천점,서울 동대문구 장한로18길 32 (장안동)
17,동대문구,장안중앙점,서울 동대문구 사가정로25길 42 (장안동)
18,동대문구,장한평군자초교점,서울 동대문구 한천로2길 53 (장안동)
19,동대문구,전농뉴타운점,서울 동대문구 답십리로 77 (전농동)
20,동대문구,전농사거리점,서울 동대문구 사가정로 132 (전농동)
21,동대문구,청량리점,서울 동대문구 왕산로 225 (청량리동)
22,동대문구,촬영소사거리점,서울 동대문구 답십리로 264 (장안동)
23,동대문구,회기역점,"서울 동대문구 망우로 67 (휘경동, 효자 워너빌)"
24,동대문구,회기역중앙점,서울 동대문구 회기로 194-1 (휘경동)
0,동작구,남성역점,서울 동작구 사당로17가길 13 (사당동)
1,동작구,노들점,서울 동작구 노량진로 200 (노량진동)
2,동작구,노량진CTS점,서울 동작구 노량진로 110 (노량진동)
3,동작구,노량진드림스퀘어점,"서울 동작구 노들로2길 7 (노량진동, 노량진 드림스퀘어 복합빌딩)"
4,동작구,노량진역사점,"서울 동작구 노량진로 지하 130 (노량진동, 9호선 노량진역)"
5,동작구,대림성모점,서울 동작구 시흥대로 658 (신대방동)
6,동작구,대방역점,"서울 동작구 노량진로 24 (대방동, 한신빌딩)"
7,동작구,보라매공원점,서울 동작구 여의대방로 90 (신대방동)
8,동작구,보라매점,"서울 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)"
9,동작구,사당역점,서울 동작구 동작대로7길 100 (사당동)
10,동작구,사당점,서울 동작구 동작대로 45 (사당동)
11,동작구,상도역점,서울 동작구 상도로 277 (상도1동)
12,동작구,상도중앙점,서울 동작구 만양로 17 (상도동)
13,동작구,숭실대점,서울 동작구 사당로 2 (상도동)
14,동작구,신대방삼거리점,서울 동작구 상도로 78 (대방동)
15,동작구,신상도초교점,서울 동작구 양녕로 183 (상도동)
16,동작구,이수중앙점,서울 동작구 사당로 285 (사당동)
17,동작구,중앙대점,서울 동작구 흑석로 79 (흑석동)
18,동작구,중앙대후문점,서울 동작구 흑석로 20 (상도동)
19,동작구,총신대입구역점,서울 동작구 동작대로 119-1 (사당동)
20,동작구,총신대점,"서울 동작구 사당로16가길 96 (사당동) 1,2층"
21,동작구,해군회관점,서울 동작구 여의대방로 194 (대방동)
0,마포구,공덕롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)"
1,마포구,공덕점,서울 마포구 마포대로8길 15 (공덕동)
2,마포구,광흥창역점,"서울 마포구 창전로 45 (창전동, 서강한화오벨리스크)"
3,마포구,대흥역점,서울 마포구 백범로 100 (대흥동)
4,마포구,동교중앙점,서울 마포구 동교로27길 8 (동교동)
5,마포구,마포공덕역점,서울 마포구 새창로 6 (도화동)
6,마포구,마포구청점,서울 마포구 월드컵로 196 (성산동)
7,마포구,마포데시앙점,서울 마포구 독막로 320 (도화동)
8,마포구,마포성산시영점,서울 마포구 월드컵북로 210 (성산동)
9,마포구,마포점,서울 마포구 도화길 10 (도화동)
10,마포구,망리단길점,"서울 마포구 포은로 81-1 (망원동, S-빌딩)"
11,마포구,망원역점,서울 마포구 월드컵로 82-1 (서교동)
12,마포구,망원중앙점,서울 마포구 월드컵로 147 (망원동)
13,마포구,상수역점,서울 마포구 와우산로 41-1 (상수동)
14,마포구,상암DMC점,서울 마포구 월드컵북로 396 (상암동)
15,마포구,상암KBS점,서울 마포구 월드컵북로 375 (상암동)
16,마포구,상암우리기술점,서울 마포구 월드컵북로56길 9 (상암동)
17,마포구,상암한샘점,서울 마포구 성암로13길 58 (상암동)
18,마포구,상암홈플러스점,서울 마포구 월드컵로 240 (성산동)
19,마포구,서강대점,서울 마포구 백범로 34 (신수동)
20,마포구,서교동점,서울 마포구 와우산로29길 70 (서교동)
21,마포구,성산점,서울 마포구 월드컵북로 137 (성산동)
22,마포구,성산중앙점,서울 마포구 성미산로 78 (성산동)
23,마포구,신촌그랑자이점,"서울 마포구 대흥로 183 (대흥동, 신촌그랑자이 상가)"
