index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
371,'(주)지에스이앤알 보라주유소','서울 영등포구 영등포로 399 (신길동)','GSC','1629','1856','N','Y','','N','N','N',영등포구
372,'SK에너지(주) 신길동주유소','서울 영등포구 영등포로 348 (신길동)','SKE','1649','1859','N','Y','','N','N','N',영등포구
373,'SK에너지(주) 양평주유소','서울 영등포구 선유로 195 (양평동3가)','SKE','1659','1859','Y','Y','','N','N','Y',영등포구
374,'(주)한미석유 제2한강주유소','서울 영등포구 선유로 260 (양평동4가)','GSC','1659','1859','Y','Y','','N','N','N',영등포구
375,'씨앤에스유통 한성주유소','서울 영등포구 여의대방로 227','SOL','1668','1898','N','N','','N','N','N',영등포구
376,'선유도주유소','서울 영등포구 양평로 141 (양평동5가)','SOL','1674','1865','Y','Y','','N','N','N',영등포구
377,'SK에너지(주) 기린주유소','서울 영등포구 선유로 270','SKE','1679','1889','Y','Y','','N','Y','Y',영등포구
378,'지에스칼텍스㈜ 화일주유소','서울 영등포구 도림로 415','GSC','1703','1911','Y','N','','N','N','N',영등포구
379,'성원이앤에스(주)영등포지점','서울 영등포구 국회대로52길 9-13 (영등포동7가)','GSC','2038','2158','N','N','','N','N','N',영등포구
380,'버드나룻길주유소','서울 영등포구 버드나루로 111 (당산동)','SKE','2090','2240','N','Y','','N','N','N',영등포구
381,'현대오일뱅크(주)직영 국회대로주유소','서울 영등포구 국회대로 746 (여의도동)','HDO','2099','2319','N','Y','','N','N','N',영등포구
382,'KH여의도주유소','서울 영등포구 국회대로 794 (여의도동)','SKE','2145','2394','N','Y','','N','N','N',영등포구
383,'SJ오일(주) 여의도주유소','서울 영등포구 은행로 64','GSC','2199','2360','N','Y','','N','Y','Y',영등포구
384,'현대오일뱅크㈜직영 강변현대주유소','서울 용산구 원효로 9 (청암동)','HDO','1852','1913','N','Y','','Y','N','N',용산구
385,'현대오일뱅크㈜직영 한남동주유소','서울 용산구 한남대로 204 (한남동)','HDO','1877','1889','N','Y','','Y','N','N',용산구
386,'동자동주유소','서울 용산구 한강대로104길 6 (동자동)','SKE','1910','1960','N','Y','','N','N','N',용산구
387,'현대오일뱅크(주)갈월동주유소','서울특별시 용산구  한강대로 322 (남영동)','HDO','1911','1959','N','Y','','Y','N','N',용산구
388,'현대오일뱅크(주)직영 소월길주유소','서울 용산구 소월로 66 (후암동)','HDO','1911','1939','N','Y','','N','N','N',용산구
389,'(주)신태성주유소','서울 용산구 원효로 147 (원효로3가)','SKE','2068','2360','N','Y','','N','N','N',용산구
